Time,5 μM SAM,10 μM SAM,20 μM SAM,50 μM SAM,100 μM SAM,200 μM SAM
0.0004125,0.090793333,0.110353333,0.133553333,0.133836667,0.15845,0.127236667
0.0008375,0.112176667,0.131676667,0.168523333,0.155253333,0.159856667,0.160256667
0.0012625,0.097473333,0.10616,0.136136667,0.143383333,0.1499,0.147593333
0.001675,0.09613,0.130803333,0.144773333,0.12687,0.14561,0.139243333
0.0021125,0.080766667,0.1209,0.13258,0.14393,0.138603333,0.14098
0.0025375,0.071783333,0.09201,0.125553333,0.10445,0.139183333,0.124826667
0.002975,0.092333333,0.102166667,0.12182,0.11836,0.15415,0.149236667
0.0034125,0.068743333,0.08724,0.11935,0.105976667,0.105556667,0.124276667
0.00385,0.09187,0.102566667,0.14961,0.128426667,0.14268,0.141886667
0.0042875,0.110223333,0.13309,0.131553333,0.131503333,0.17115,0.151246667
0.0047375,0.092043333,0.123136667,0.137663333,0.13597,0.133966667,0.16338
0.0051875,0.087203333,0.12147,0.13225,0.14748,0.13427,0.134396667
0.0056375,0.101653333,0.114603333,0.149566667,0.132263333,0.1436,0.15434
0.0060875,0.094716667,0.094603333,0.1308,0.11601,0.11902,0.13609
0.00655,0.101286667,0.110053333,0.148063333,0.135926667,0.15066,0.14568
0.0070125,0.093416667,0.121103333,0.134763333,0.133046667,0.155596667,0.143903333
0.007475,0.10491,0.129363333,0.13895,0.103646667,0.14062,0.134956667
0.00795,0.10082,0.113893333,0.141696667,0.151053333,0.172336667,0.159223333
0.0084125,0.116696667,0.09481,0.119293333,0.12415,0.134773333,0.13786
0.0088875,0.08866,0.098196667,0.13027,0.130883333,0.13274,0.132206667
0.0093625,0.092626667,0.115526667,0.13374,0.117196667,0.160593333,0.160193333
0.00985,0.123733333,0.135293333,0.134043333,0.136586667,0.144553333,0.118526667
0.0103375,0.118813333,0.134083333,0.160256667,0.156596667,0.152123333,0.158823333
0.010825,0.072726667,0.101923333,0.128846667,0.115616667,0.12205,0.123233333
0.0113125,0.064566667,0.101876667,0.13088,0.12195,0.129976667,0.133456667
0.0118,0.09734,0.118266667,0.134273333,0.130056667,0.14212,0.138063333
0.0123,0.08549,0.114426667,0.127366667,0.10927,0.14298,0.129483333
0.0128,0.103143333,0.125603333,0.155646667,0.11535,0.15325,0.11722
0.0133125,0.12553,0.144106667,0.17347,0.178233333,0.150236667,0.165053333
0.0138125,0.10011,0.10133,0.121733333,0.098213333,0.131876667,0.10954
0.014325,0.08024,0.113343333,0.12298,0.138096667,0.13664,0.12414
0.0148375,0.08737,0.11639,0.123393333,0.113686667,0.109266667,0.12095
0.0153625,0.105063333,0.09493,0.10938,0.112806667,0.11834,0.11006
0.0158875,0.084806667,0.093646667,0.11401,0.12047,0.11624,0.12507
0.0164125,0.091343333,0.11309,0.126556667,0.112406667,0.126306667,0.129576667
0.0169375,0.078226667,0.073243333,0.1017,0.114506667,0.13295,0.107526667
0.017475,0.0962,0.08965,0.11015,0.131483333,0.13675,0.12269
0.0180125,0.093323333,0.111986667,0.143553333,0.130226667,0.12499,0.129426667
0.01855,0.100443333,0.12298,0.13151,0.13578,0.1455,0.132993333
0.0191,0.09788,0.10432,0.131403333,0.137373333,0.150176667,0.1488
0.0196375,0.091016667,0.09976,0.121626667,0.113233333,0.129013333,0.14015
0.0202,0.08648,0.07812,0.122603333,0.134263333,0.143316667,0.13188
0.02075,0.097533333,0.11427,0.147913333,0.14152,0.144893333,0.153876667
0.0213125,0.091003333,0.115563333,0.12561,0.141133333,0.15707,0.137573333
